"cons.1","cons.2","cons.3","cons.4","cons.5","cons.6","cons.7","cons.8","cons.9","cons.10","cons","frug","tight"
2,4,4,4,4,2,4,4,4,4,3.6,4.18518518518519,3.75
2,4,2,4,4,4,4,4,4,4,3.6,3.22222222222222,3.5
3,4,3,3,4,3,4,4,4,4,3.6,3.7037037037037,3.75
4,5,2,4,4,2,2,5,4,4,3.6,3.88888888888889,3.5
3,3,4,4,4,4,2,4,3,4,3.5,3.66666666666667,3.875
4,3,2,5,5,2,4,5,5,4,3.9,3.77777777777778,3.875
4,5,2,2,2,3,4,4,3,4,3.3,3.92592592592593,4.25
4,5,2,5,5,4,3,4,4,3,3.9,4.2962962962963,4.375
2,5,1,4,4,2,2,4,3,2,2.9,3.66666666666667,3.75
2,4,4,4,4,3,4,2,4,5,3.6,3.62962962962963,3.75
2,3,2,3,3,2,3,4,3,4,2.9,3.11111111111111,3.25
3,5,2,4,2,5,4,5,3,5,3.8,4.2962962962963,4.375
4,4,4,4,4,4,4,4,4,4,4,4.11111111111111,4.125
3,3,1,4,4,3,2,4,4,5,3.3,3.55555555555556,3.75
3,5,1,4,4,2,1,5,3,3,3.1,4.03703703703704,4.5
3,4,2,5,5,2,4,4,4,5,3.8,3.74074074074074,3.75
4,4,3,4,4,3,3,5,5,5,4,4.2962962962963,4.125
2,5,5,5,4,4,3,3,5,5,4.1,4.2962962962963,4.25
3,2,2,4,4,3,4,4,4,4,3.4,3.55555555555556,3.625
4,4,5,4,4,4,4,5,4,4,4.2,3.62962962962963,3.875
3,2,2,4,3,2,2,5,4,4,3.1,2.74074074074074,3.125
4,4,2,4,3,3,3,3,4,4,3.4,3.7037037037037,4
2,4,2,2,3,2,2,2,2,2,2.3,3.88888888888889,4.125
4,4,3,4,3,3,3,5,5,5,3.9,4.07407407407407,4
4,4,4,4,4,3,5,4,4,5,4.1,3.74074074074074,4.5
5,5,5,5,4,5,4,4,5,5,4.7,3.81481481481481,4.25
3,4,4,4,3,4,4,5,4,5,4,3.85185185185185,3.625
4,3,3,4,4,3,4,3,5,4,3.7,4,3.875
4,4,3,4,4,4,5,5,5,4,4.2,4.74074074074074,4.875
2,4,2,4,4,2,2,4,5,4,3.3,3.7037037037037,4.125
2,3,1,4,3,1,3,2,3,5,2.7,4.40740740740741,4.375
3,5,3,4,4,3,3,5,4,5,3.9,4.03703703703704,4
3,5,4,3,3,2,2,5,2,4,3.3,3.96296296296296,4.375
2,3,1,2,2,2,3,3,3,4,2.5,3.74074074074074,3.625
2,2,2,3,3,1,2,3,4,3,2.5,2.62962962962963,3.375
4,4,4,5,4,4,4,4,5,4,4.2,4.66666666666667,4.75
